cdBairro,deBairro,cdMunic
1,"7o. RO",2
2,"Amparo",2
3,"Bairro Novo",2
4,"Bultrins",2
5,"Carmo",2
6,"Casa Caiada",2
7,"Jardim Atlântico",2
8,"Jardim Rio Doce",2
9,"Jardim Brasil",2
10,"Ouro Preto",2
11,"Peixinhos",2
12,"Rio Doce",2
13,"Salgadinho",2
14,"Varadouro",2
15,"Arthur Lundgren",3
16,"Caetés",3
17,"Centro",3
18,"Cidade Tabajara",3
19,"Cruz de Rebouças",3
20,"Engenho Maranguape",3
21,"Janga",3
22,"Jardim Maranguape",3
23,"Jardim Paulista",3
24,"Jatobá",3
25,"Maranguape",3
26,"Maria Farinha",3
27,"Marcos Freire",3
28,"Mirueira",3
29,"Nossa Senhora do Ó",3
30,"Paratibe",3
31,"Pau Amarelo",3
32,"Prazeres",4
33,"Candeias",4
34,"Itapissuma",7
35,"Aflitos",1
36,"Afogados",1
37,"Águas Compridas",1
38,"Águazinha",1
39,"Alto Santa Terezinha",1
40,"Amaro Branco",1
41,"Areias",1
42,"Arruda",1
43,"Barreira do Rosário",1
44,"Beberibe",1
45,"Boa Viagem",1
46,"Boa Vista",1
47,"Bomba do Hemetério",1
48,"Bongi",1
49,"Bonsucesso",1
50,"Brasília Teimosa",1
51,"Caixa D Água",1
52,"Cajueiro",1
53,"Campo Grande",1
54,"Casa Amarela",1
55,"Casa Forte",1
56,"Cidade Universitária",1
57,"Cordeiro",1
58,"Conceição",1
59,"Cosme Damião",1
60,"Curado",1
61,"Dois Unidos",1
62,"Curado II",1
63,"Encruzilhada",1
64,"Fosforita",1
65,"Graças",1
66,"Guadalupe",1
67,"Hipódromo",1
68,"Ibura",1
69,"Imbiribeira",1
70,"IPSEP",1
71,"Iputinga",1
72,"Jaqueira",1
73,"Jardim São Paulo",1
74,"Jordão Baixo",1
75,"Macaxeira",1
76,"Madalena",1
77,"Parnamirim",1
78,"Pina",1
79,"Rosarinho",1
80,"Santo Amaro",1
81,"São José",1
82,"São João",1
83,"Sapucaia",1
84,"Setúbal",1
85,"Sítio Novo",1
86,"Santa Tereza",1
87,"Tamarineira",1
88,"Sucupira",1
89,"Timbó",1
90,"Torre",1
91,"Torreão",1
92,"Vasco da Gama",1
93,"Vila Popular",1
94,"Vila São Bento",1
95,"Torres Galvão",1
96,"Totó",1
97,"Água Fria",1
98,"Arthur Lundgren II",3
99,"Outros",1
100,"Barro",1
101,"Caetés II",3
102,"Caetés III",3
103,"Curado III",1
104,"Farol",2
105,"Curado IV",1
106,"Fundão",1
107,"Jardim Fragoso",1
108,"Jardim Santa Rita",1
109,"Jordão Baixo",1
110,"Maranguape I",3
111,"Maranguape II",3
112,"Monte",1
113,"Nobre",1
114,"Prado",1
115,"Praia da Conceição",1
116,"San Martin",1
117,"Espinheiro",1
118,"Jardim Brasil II",2
119,"Piedade",4
120,"Várzea",1
121,"Umuarama",2
122,"Cosme e Damião",1
123,"Porto da Madeira",1
124,"Mangueira",1
125,"Olinda Antiga",2
